"Date","Open","High","Low","Close"
"Mon Feb 07 2022 10:34:00 GMT+0530 (India Standard Time)","38584.20","38584.20","38571.90","38580.10"
"Mon Feb 07 2022 10:35:00 GMT+0530 (India Standard Time)","38582.75","38582.75","38546.50","38552.10"
"Mon Feb 07 2022 10:36:00 GMT+0530 (India Standard Time)","38552.00","38610.30","38552.00","38598.75"
"Mon Feb 07 2022 10:37:00 GMT+0530 (India Standard Time)","38597.55","38600.70","38587.05","38590.60"
"Mon Feb 07 2022 10:38:00 GMT+0530 (India Standard Time)","38594.00","38614.00","38587.30","38608.85"
"Mon Feb 07 2022 10:39:00 GMT+0530 (India Standard Time)","38608.20","38609.30","38565.65","38575.20"
"Mon Feb 07 2022 10:40:00 GMT+0530 (India Standard Time)","38576.75","38594.30","38573.25","38591.65"
"Mon Feb 07 2022 10:41:00 GMT+0530 (India Standard Time)","38593.45","38616.35","38587.55","38616.35"
"Mon Feb 07 2022 10:42:00 GMT+0530 (India Standard Time)","38622.30","38629.20","38598.60","38624.10"
"Mon Feb 07 2022 10:43:00 GMT+0530 (India Standard Time)","38618.25","38626.05","38607.55","38623.35"
"Mon Feb 07 2022 10:44:00 GMT+0530 (India Standard Time)","38621.20","38640.65","38612.95","38613.15"
"Mon Feb 07 2022 10:45:00 GMT+0530 (India Standard Time)","38612.20","38617.50","38596.00","38613.10"
"Mon Feb 07 2022 10:46:00 GMT+0530 (India Standard Time)","38612.35","38613.30","38591.90","38597.30"
"Mon Feb 07 2022 10:47:00 GMT+0530 (India Standard Time)","38594.60","38618.00","38588.20","38596.95"
"Mon Feb 07 2022 10:48:00 GMT+0530 (India Standard Time)","38598.30","38612.70","38598.00","38601.20"
"Mon Feb 07 2022 10:49:00 GMT+0530 (India Standard Time)","38602.25","38624.25","38598.30","38617.15"
"Mon Feb 07 2022 10:50:00 GMT+0530 (India Standard Time)","38618.35","38647.85","38614.70","38639.50"
"Mon Feb 07 2022 10:51:00 GMT+0530 (India Standard Time)","38640.35","38640.95","38616.20","38625.65"
"Mon Feb 07 2022 10:52:00 GMT+0530 (India Standard Time)","38624.75","38638.25","38608.70","38615.00"
"Mon Feb 07 2022 10:53:00 GMT+0530 (India Standard Time)","38616.50","38627.45","38598.15","38606.95"
"Mon Feb 07 2022 10:54:00 GMT+0530 (India Standard Time)","38610.55","38634.20","38607.60","38607.60"
"Mon Feb 07 2022 10:55:00 GMT+0530 (India Standard Time)","38609.30","38615.20","38605.70","38611.65"
"Mon Feb 07 2022 10:56:00 GMT+0530 (India Standard Time)","38608.25","38610.50","38598.60","38609.05"
"Mon Feb 07 2022 10:57:00 GMT+0530 (India Standard Time)","38609.85","38611.65","38592.55","38595.20"
"Mon Feb 07 2022 10:58:00 GMT+0530 (India Standard Time)","38595.45","38596.90","38571.95","38572.90"
"Mon Feb 07 2022 10:59:00 GMT+0530 (India Standard Time)","38574.35","38593.35","38568.85","38569.70"
"Mon Feb 07 2022 11:00:00 GMT+0530 (India Standard Time)","38570.10","38586.15","38549.80","38559.85"
"Mon Feb 07 2022 11:01:00 GMT+0530 (India Standard Time)","38567.25","38567.50","38523.70","38556.55"
"Mon Feb 07 2022 11:02:00 GMT+0530 (India Standard Time)","38551.45","38554.70","38538.75","38543.35"
"Mon Feb 07 2022 11:03:00 GMT+0530 (India Standard Time)","38553.10","38553.15","38508.70","38510.40"
"Mon Feb 07 2022 11:04:00 GMT+0530 (India Standard Time)","38511.05","38535.05","38506.40","38517.35"
"Mon Feb 07 2022 11:05:00 GMT+0530 (India Standard Time)","38522.10","38538.75","38506.00","38521.50"
"Mon Feb 07 2022 11:06:00 GMT+0530 (India Standard Time)","38521.90","38521.90","38495.95","38515.95"
"Mon Feb 07 2022 11:07:00 GMT+0530 (India Standard Time)","38516.70","38516.70","38485.70","38490.45"
"Mon Feb 07 2022 11:08:00 GMT+0530 (India Standard Time)","38493.60","38514.20","38488.60","38488.60"
"Mon Feb 07 2022 11:09:00 GMT+0530 (India Standard Time)","38488.25","38491.85","38459.25","38459.25"
"Mon Feb 07 2022 11:10:00 GMT+0530 (India Standard Time)","38458.95","38463.55","38439.35","38442.85"
"Mon Feb 07 2022 11:11:00 GMT+0530 (India Standard Time)","38446.00","38475.40","38442.30","38455.10"
"Mon Feb 07 2022 11:12:00 GMT+0530 (India Standard Time)","38458.45","38460.15","38441.35","38451.95"
"Mon Feb 07 2022 11:13:00 GMT+0530 (India Standard Time)","38453.95","38458.90","38442.05","38452.35"
"Mon Feb 07 2022 11:14:00 GMT+0530 (India Standard Time)","38455.05","38484.35","38455.05","38465.40"
"Mon Feb 07 2022 11:15:00 GMT+0530 (India Standard Time)","38462.55","38464.95","38431.20","38433.60"
"Mon Feb 07 2022 11:16:00 GMT+0530 (India Standard Time)","38432.35","38448.70","38432.35","38445.40"
"Mon Feb 07 2022 11:17:00 GMT+0530 (India Standard Time)","38443.60","38448.70","38433.65","38434.55"
"Mon Feb 07 2022 11:18:00 GMT+0530 (India Standard Time)","38436.15","38438.35","38407.45","38414.60"
"Mon Feb 07 2022 11:19:00 GMT+0530 (India Standard Time)","38411.90","38425.30","38401.80","38406.50"
"Mon Feb 07 2022 11:20:00 GMT+0530 (India Standard Time)","38410.40","38429.45","38390.55","38424.25"
"Mon Feb 07 2022 11:21:00 GMT+0530 (India Standard Time)","38428.75","38441.25","38419.00","38428.75"
"Mon Feb 07 2022 11:22:00 GMT+0530 (India Standard Time)","38428.40","38433.05","38404.55","38405.60"
"Mon Feb 07 2022 11:23:00 GMT+0530 (India Standard Time)","38406.70","38411.90","38400.65","38410.20"
"Mon Feb 07 2022 11:24:00 GMT+0530 (India Standard Time)","38411.00","38411.00","38385.45","38387.00"
"Mon Feb 07 2022 11:25:00 GMT+0530 (India Standard Time)","38386.40","38422.90","38371.90","38402.40"
"Mon Feb 07 2022 11:26:00 GMT+0530 (India Standard Time)","38404.10","38417.45","38383.30","38385.95"
"Mon Feb 07 2022 11:27:00 GMT+0530 (India Standard Time)","38392.90","38399.50","38380.00","38385.40"
"Mon Feb 07 2022 11:28:00 GMT+0530 (India Standard Time)","38385.35","38400.35","38368.70","38399.35"
"Mon Feb 07 2022 11:29:00 GMT+0530 (India Standard Time)","38394.80","38394.80","38371.00","38380.75"
"Mon Feb 07 2022 11:30:00 GMT+0530 (India Standard Time)","38379.55","38404.50","38372.15","38387.05"
"Mon Feb 07 2022 11:31:00 GMT+0530 (India Standard Time)","38387.95","38396.05","38380.15","38385.20"
"Mon Feb 07 2022 11:32:00 GMT+0530 (India Standard Time)","38387.90","38387.90","38366.70","38378.15"
"Mon Feb 07 2022 11:33:00 GMT+0530 (India Standard Time)","38378.75","38400.70","38377.85","38398.50"
"Mon Feb 07 2022 11:34:00 GMT+0530 (India Standard Time)","38398.70","38405.45","38377.75","38383.65"
"Mon Feb 07 2022 11:35:00 GMT+0530 (India Standard Time)","38382.10","38400.75","38380.70","38398.75"
"Mon Feb 07 2022 11:36:00 GMT+0530 (India Standard Time)","38398.85","38434.75","38398.85","38422.55"
"Mon Feb 07 2022 11:37:00 GMT+0530 (India Standard Time)","38424.05","38437.35","38412.80","38423.45"
"Mon Feb 07 2022 11:38:00 GMT+0530 (India Standard Time)","38422.90","38430.85","38415.40","38416.50"
"Mon Feb 07 2022 11:39:00 GMT+0530 (India Standard Time)","38416.85","38418.45","38404.80","38416.70"
"Mon Feb 07 2022 11:40:00 GMT+0530 (India Standard Time)","38416.95","38417.55","38408.15","38411.60"
"Mon Feb 07 2022 11:41:00 GMT+0530 (India Standard Time)","38412.65","38426.95","38407.40","38421.20"
"Mon Feb 07 2022 11:42:00 GMT+0530 (India Standard Time)","38419.65","38438.60","38417.80","38436.90"
"Mon Feb 07 2022 11:43:00 GMT+0530 (India Standard Time)","38437.10","38440.35","38407.15","38407.60"
"Mon Feb 07 2022 11:44:00 GMT+0530 (India Standard Time)","38406.00","38406.00","38379.80","38386.55"
"Mon Feb 07 2022 11:45:00 GMT+0530 (India Standard Time)","38387.20","38388.40","38378.15","38378.35"
"Mon Feb 07 2022 11:46:00 GMT+0530 (India Standard Time)","38379.05","38394.00","38369.65","38384.55"
"Mon Feb 07 2022 11:47:00 GMT+0530 (India Standard Time)","38385.80","38385.80","38356.55","38357.80"
"Mon Feb 07 2022 11:48:00 GMT+0530 (India Standard Time)","38357.20","38365.70","38354.90","38354.90"
"Mon Feb 07 2022 11:49:00 GMT+0530 (India Standard Time)","38356.45","38358.20","38339.70","38342.30"
"Mon Feb 07 2022 11:50:00 GMT+0530 (India Standard Time)","38342.20","38344.60","38316.10","38338.90"
"Mon Feb 07 2022 11:51:00 GMT+0530 (India Standard Time)","38339.70","38365.30","38339.55","38358.10"
"Mon Feb 07 2022 11:52:00 GMT+0530 (India Standard Time)","38359.65","38386.10","38359.40","38371.70"
"Mon Feb 07 2022 11:53:00 GMT+0530 (India Standard Time)","38372.05","38400.10","38361.45","38400.10"
"Mon Feb 07 2022 11:54:00 GMT+0530 (India Standard Time)","38406.70","38421.90","38394.10","38418.50"
"Mon Feb 07 2022 11:55:00 GMT+0530 (India Standard Time)","38417.95","38430.10","38391.55","38391.55"
"Mon Feb 07 2022 11:56:00 GMT+0530 (India Standard Time)","38394.40","38401.45","38382.85","38397.35"
"Mon Feb 07 2022 11:57:00 GMT+0530 (India Standard Time)","38398.95","38399.80","38379.05","38383.15"
"Mon Feb 07 2022 11:58:00 GMT+0530 (India Standard Time)","38384.85","38406.95","38376.55","38394.60"
"Mon Feb 07 2022 11:59:00 GMT+0530 (India Standard Time)","38397.60","38403.95","38393.85","38399.50"
"Mon Feb 07 2022 12:00:00 GMT+0530 (India Standard Time)","38399.95","38428.95","38396.30","38424.15"
"Mon Feb 07 2022 12:01:00 GMT+0530 (India Standard Time)","38422.70","38423.40","38397.75","38397.75"
"Mon Feb 07 2022 12:02:00 GMT+0530 (India Standard Time)","38398.90","38398.90","38347.20","38347.20"
"Mon Feb 07 2022 12:03:00 GMT+0530 (India Standard Time)","38353.75","38362.55","38324.05","38332.80"
"Mon Feb 07 2022 12:04:00 GMT+0530 (India Standard Time)","38331.75","38349.80","38330.60","38333.90"
"Mon Feb 07 2022 12:05:00 GMT+0530 (India Standard Time)","38334.10","38358.10","38332.10","38332.10"
"Mon Feb 07 2022 12:06:00 GMT+0530 (India Standard Time)","38334.40","38338.60","38315.05","38330.85"
"Mon Feb 07 2022 12:07:00 GMT+0530 (India Standard Time)","38331.95","38335.00","38303.10","38308.65"
"Mon Feb 07 2022 12:08:00 GMT+0530 (India Standard Time)","38308.00","38311.85","38281.15","38283.00"
"Mon Feb 07 2022 12:09:00 GMT+0530 (India Standard Time)","38289.10","38291.25","38270.80","38276.75"
"Mon Feb 07 2022 12:10:00 GMT+0530 (India Standard Time)","38275.35","38291.15","38260.40","38277.55"
"Mon Feb 07 2022 12:11:00 GMT+0530 (India Standard Time)","38282.00","38306.30","38273.45","38296.20"
"Mon Feb 07 2022 12:12:00 GMT+0530 (India Standard Time)","38298.85","38302.40","38287.45","38287.45"
