"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"Wed May 04 2022 15:21:00 GMT+0530 (India Standard Time)","35225.35","35265.65","35225.35","35257.45","0.08","0.08","0"
"Wed May 04 2022 15:22:00 GMT+0530 (India Standard Time)","35263.05","35279.90","35253.90","35254.15","-0.01","-0.01","0"
"Wed May 04 2022 15:23:00 GMT+0530 (India Standard Time)","35251.95","35266.40","35247.65","35261.65","0.02","0.02","0"
"Wed May 04 2022 15:24:00 GMT+0530 (India Standard Time)","35261.50","35267.20","35247.75","35267.20","0.02","0.02","0"
"Wed May 04 2022 15:25:00 GMT+0530 (India Standard Time)","35266.95","35278.85","35258.95","35276.85","0.03","0.03","0"
"Wed May 04 2022 15:26:00 GMT+0530 (India Standard Time)","35276.55","35297.65","35275.85","35296.50","0.06","0.06","0"
"Wed May 04 2022 15:27:00 GMT+0530 (India Standard Time)","35297.05","35304.40","35289.90","35291.55","-0.01","-0.01","0"
"Wed May 04 2022 15:28:00 GMT+0530 (India Standard Time)","35294.10","35294.15","35277.80","35287.35","-0.01","-0.01","0"
"Wed May 04 2022 15:29:00 GMT+0530 (India Standard Time)","35294.70","35317.55","35282.25","35317.55","0.09","0.09","0"
"Thu May 05 2022 09:15:00 GMT+0530 (India Standard Time)","35705.35","35705.35","35574.35","35637.60","0.91","0.91","0"
"Thu May 05 2022 09:16:00 GMT+0530 (India Standard Time)","35641.75","35735.20","35637.30","35722.65","0.24","0.24","0"
"Thu May 05 2022 09:17:00 GMT+0530 (India Standard Time)","35730.05","35757.50","35716.95","35716.95","-0.02","-0.01","0"
"Thu May 05 2022 09:18:00 GMT+0530 (India Standard Time)","35720.00","35729.90","35687.85","35729.10","0.03","0.04","0"
"Thu May 05 2022 09:19:00 GMT+0530 (India Standard Time)","35733.35","35733.35","35670.10","35700.65","-0.08","-0.08","0"
"Thu May 05 2022 09:20:00 GMT+0530 (India Standard Time)","35702.15","35712.85","35674.80","35682.00","-0.05","-0.05","0"
"Thu May 05 2022 09:21:00 GMT+0530 (India Standard Time)","35686.40","35686.40","35633.75","35633.75","-0.14","-0.13","0"
"Thu May 05 2022 09:22:00 GMT+0530 (India Standard Time)","35634.00","35665.00","35612.75","35622.45","-0.03","-0.03","0"
"Thu May 05 2022 09:23:00 GMT+0530 (India Standard Time)","35624.55","35624.55","35577.00","35577.00","-0.13","-0.13","0"
"Thu May 05 2022 09:24:00 GMT+0530 (India Standard Time)","35581.95","35614.25","35552.55","35606.35","0.08","0.08","0"
"Thu May 05 2022 09:25:00 GMT+0530 (India Standard Time)","35604.65","35610.15","35571.00","35590.20","-0.05","-0.04","0"
"Thu May 05 2022 09:26:00 GMT+0530 (India Standard Time)","35591.70","35594.70","35561.90","35590.05","0","0","0"
"Thu May 05 2022 09:27:00 GMT+0530 (India Standard Time)","35588.65","35612.25","35572.25","35601.70","0.03","0.03","0"
"Thu May 05 2022 09:28:00 GMT+0530 (India Standard Time)","35598.20","35648.05","35597.20","35647.00","0.13","0.13","0"
"Thu May 05 2022 09:29:00 GMT+0530 (India Standard Time)","35651.55","35668.10","35646.30","35668.10","0.06","0.06","0"
"Thu May 05 2022 09:30:00 GMT+0530 (India Standard Time)","35673.05","35679.35","35644.20","35676.70","0.02","0.03","0"
"Thu May 05 2022 09:31:00 GMT+0530 (India Standard Time)","35679.95","35711.60","35675.50","35687.50","0.03","0.03","0"
"Thu May 05 2022 09:32:00 GMT+0530 (India Standard Time)","35692.70","35699.85","35671.95","35687.65","0","0","0"
"Thu May 05 2022 09:33:00 GMT+0530 (India Standard Time)","35689.45","35695.65","35676.85","35683.00","-0.01","-0.01","0"
"Thu May 05 2022 09:34:00 GMT+0530 (India Standard Time)","35684.35","35688.15","35668.25","35669.15","-0.04","-0.04","0"
"Thu May 05 2022 09:35:00 GMT+0530 (India Standard Time)","35670.15","35679.60","35666.65","35674.20","0.01","0.02","0"
"Thu May 05 2022 09:36:00 GMT+0530 (India Standard Time)","35672.60","35685.50","35667.30","35673.45","0","0","0"
"Thu May 05 2022 09:37:00 GMT+0530 (India Standard Time)","35679.20","35685.65","35658.95","35673.30","0","0","0"
"Thu May 05 2022 09:38:00 GMT+0530 (India Standard Time)","35671.15","35684.70","35664.90","35683.90","0.03","0.03","0"
"Thu May 05 2022 09:39:00 GMT+0530 (India Standard Time)","35681.10","35696.05","35645.15","35675.30","-0.02","-0.02","0"
"Thu May 05 2022 09:40:00 GMT+0530 (India Standard Time)","35678.95","35685.25","35675.35","35676.70","0","0","0"
"Thu May 05 2022 09:41:00 GMT+0530 (India Standard Time)","35676.35","35700.55","35667.95","35696.25","0.05","0.06","0"
"Thu May 05 2022 09:42:00 GMT+0530 (India Standard Time)","35692.70","35706.50","35692.70","35700.95","0.01","0.01","0"
"Thu May 05 2022 09:43:00 GMT+0530 (India Standard Time)","35695.75","35704.90","35672.35","35678.65","-0.06","-0.06","0"
"Thu May 05 2022 09:44:00 GMT+0530 (India Standard Time)","35673.25","35689.60","35659.95","35661.10","-0.05","-0.05","0"
"Thu May 05 2022 09:45:00 GMT+0530 (India Standard Time)","35666.75","35690.40","35665.85","35677.10","0.04","0.05","0"
"Thu May 05 2022 09:46:00 GMT+0530 (India Standard Time)","35677.05","35678.05","35657.00","35670.30","-0.02","-0.02","0"
"Thu May 05 2022 09:47:00 GMT+0530 (India Standard Time)","35676.10","35682.50","35657.85","35660.90","-0.03","-0.03","0"
"Thu May 05 2022 09:48:00 GMT+0530 (India Standard Time)","35662.95","35677.95","35660.45","35677.10","0.05","0.05","0"
"Thu May 05 2022 09:49:00 GMT+0530 (India Standard Time)","35680.45","35687.35","35658.95","35676.15","0","0","0"
"Thu May 05 2022 09:50:00 GMT+0530 (India Standard Time)","35673.05","35687.50","35669.50","35687.50","0.03","0.03","0"
"Thu May 05 2022 09:51:00 GMT+0530 (India Standard Time)","35684.75","35691.15","35669.45","35677.70","-0.03","-0.03","0"
"Thu May 05 2022 09:52:00 GMT+0530 (India Standard Time)","35680.45","35692.30","35672.90","35688.95","0.03","0.03","0"
"Thu May 05 2022 09:53:00 GMT+0530 (India Standard Time)","35691.05","35694.25","35685.00","35688.50","0","0","0"
"Thu May 05 2022 09:54:00 GMT+0530 (India Standard Time)","35689.10","35695.35","35668.90","35688.65","0","0","0"
"Thu May 05 2022 09:55:00 GMT+0530 (India Standard Time)","35684.75","35691.30","35660.80","35660.80","-0.08","-0.08","0"
"Thu May 05 2022 09:56:00 GMT+0530 (India Standard Time)","35659.60","35678.80","35659.60","35663.45","0.01","0.01","0"
"Thu May 05 2022 09:57:00 GMT+0530 (India Standard Time)","35664.10","35669.10","35652.10","35658.40","-0.01","-0.01","0"
"Thu May 05 2022 09:58:00 GMT+0530 (India Standard Time)","35658.10","35668.80","35653.25","35654.90","-0.01","-0.01","0"
"Thu May 05 2022 09:59:00 GMT+0530 (India Standard Time)","35656.20","35661.90","35647.75","35652.90","-0.01","0","0"
"Thu May 05 2022 10:00:00 GMT+0530 (India Standard Time)","35649.60","35663.00","35649.60","35662.25","0.03","0.03","0"
"Thu May 05 2022 10:01:00 GMT+0530 (India Standard Time)","35665.75","35678.60","35653.30","35673.90","0.03","0.03","0"
"Thu May 05 2022 10:02:00 GMT+0530 (India Standard Time)","35674.30","35677.05","35660.95","35666.90","-0.02","-0.02","0"
"Thu May 05 2022 10:03:00 GMT+0530 (India Standard Time)","35666.45","35677.75","35659.80","35676.00","0.03","0.03","0"
"Thu May 05 2022 10:04:00 GMT+0530 (India Standard Time)","35675.70","35749.80","35672.45","35720.20","0.12","0.12","0"
"Thu May 05 2022 10:05:00 GMT+0530 (India Standard Time)","35717.90","35760.05","35717.90","35743.55","0.07","0.07","0"
"Thu May 05 2022 10:06:00 GMT+0530 (India Standard Time)","35744.90","35787.70","35744.90","35787.70","0.12","0.12","0"
"Thu May 05 2022 10:07:00 GMT+0530 (India Standard Time)","35790.70","35807.00","35783.80","35791.70","0.01","0.01","0"
"Thu May 05 2022 10:08:00 GMT+0530 (India Standard Time)","35786.35","35803.45","35786.35","35787.00","-0.01","-0.01","0"
"Thu May 05 2022 10:09:00 GMT+0530 (India Standard Time)","35790.75","35813.65","35789.65","35796.40","0.03","0.03","0"
"Thu May 05 2022 10:10:00 GMT+0530 (India Standard Time)","35799.40","35815.65","35797.50","35801.65","0.01","0.02","0"
"Thu May 05 2022 10:11:00 GMT+0530 (India Standard Time)","35802.25","35804.40","35775.45","35802.30","0","0","0"
"Thu May 05 2022 10:12:00 GMT+0530 (India Standard Time)","35803.45","35807.75","35790.50","35790.50","-0.03","-0.03","0"
"Thu May 05 2022 10:13:00 GMT+0530 (India Standard Time)","35790.25","35805.10","35789.25","35798.50","0.02","0.02","0"
