"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"Wed Jun 15 2022 13:28:00 GMT+0530 (India Standard Time)","33443.20","33449.15","33440.65","33440.65","-0.01","-0.01","0"
"Wed Jun 15 2022 13:29:00 GMT+0530 (India Standard Time)","33439.55","33453.20","33439.15","33446.85","0.02","0.02","0"
"Wed Jun 15 2022 13:30:00 GMT+0530 (India Standard Time)","33446.85","33485.25","33442.40","33476.15","0.09","0.09","0"
"Wed Jun 15 2022 13:31:00 GMT+0530 (India Standard Time)","33479.95","33492.00","33466.05","33469.85","-0.02","-0.02","0"
"Wed Jun 15 2022 13:32:00 GMT+0530 (India Standard Time)","33469.80","33476.50","33424.05","33429.80","-0.12","-0.12","0"
"Wed Jun 15 2022 13:33:00 GMT+0530 (India Standard Time)","33428.50","33456.45","33425.65","33454.80","0.07","0.08","0"
"Wed Jun 15 2022 13:34:00 GMT+0530 (India Standard Time)","33454.75","33457.75","33442.75","33450.10","-0.01","-0.01","0"
"Wed Jun 15 2022 13:35:00 GMT+0530 (India Standard Time)","33450.10","33464.60","33447.35","33463.60","0.04","0.04","0"
"Wed Jun 15 2022 13:36:00 GMT+0530 (India Standard Time)","33463.50","33465.35","33449.85","33460.05","-0.01","-0.01","0"
"Wed Jun 15 2022 13:37:00 GMT+0530 (India Standard Time)","33456.15","33491.65","33456.15","33482.90","0.07","0.07","0"
"Wed Jun 15 2022 13:38:00 GMT+0530 (India Standard Time)","33480.80","33486.20","33469.35","33473.75","-0.03","-0.03","0"
"Wed Jun 15 2022 13:39:00 GMT+0530 (India Standard Time)","33473.65","33484.80","33470.20","33481.05","0.02","0.02","0"
"Wed Jun 15 2022 13:40:00 GMT+0530 (India Standard Time)","33481.30","33486.35","33471.60","33474.05","-0.02","-0.02","0"
"Wed Jun 15 2022 13:41:00 GMT+0530 (India Standard Time)","33474.85","33490.05","33470.90","33478.45","0.01","0.01","0"
"Wed Jun 15 2022 13:42:00 GMT+0530 (India Standard Time)","33478.90","33487.85","33475.95","33479.50","0","0","0"
"Wed Jun 15 2022 13:43:00 GMT+0530 (India Standard Time)","33480.00","33484.65","33474.65","33482.30","0.01","0.01","0"
"Wed Jun 15 2022 13:44:00 GMT+0530 (India Standard Time)","33479.15","33483.20","33466.05","33466.05","-0.05","-0.05","0"
"Wed Jun 15 2022 13:45:00 GMT+0530 (India Standard Time)","33464.20","33478.80","33459.20","33471.15","0.02","0.02","0"
"Wed Jun 15 2022 13:46:00 GMT+0530 (India Standard Time)","33471.60","33473.90","33462.05","33470.95","0","0","0"
"Wed Jun 15 2022 13:47:00 GMT+0530 (India Standard Time)","33469.25","33474.90","33465.65","33471.50","0","0","0"
"Wed Jun 15 2022 13:48:00 GMT+0530 (India Standard Time)","33470.60","33474.75","33457.20","33474.45","0.01","0.01","0"
"Wed Jun 15 2022 13:49:00 GMT+0530 (India Standard Time)","33475.30","33475.75","33461.50","33469.35","-0.02","-0.01","0"
"Wed Jun 15 2022 13:50:00 GMT+0530 (India Standard Time)","33467.15","33475.35","33466.45","33471.10","0.01","0.01","0"
"Wed Jun 15 2022 13:51:00 GMT+0530 (India Standard Time)","33471.75","33478.15","33466.85","33476.35","0.02","0.02","0"
"Wed Jun 15 2022 13:52:00 GMT+0530 (India Standard Time)","33474.85","33491.35","33473.35","33488.30","0.04","0.04","0"
"Wed Jun 15 2022 13:53:00 GMT+0530 (India Standard Time)","33486.15","33513.35","33485.45","33505.00","0.05","0.05","0"
"Wed Jun 15 2022 13:54:00 GMT+0530 (India Standard Time)","33502.05","33502.05","33487.40","33491.50","-0.04","-0.04","0"
"Wed Jun 15 2022 13:55:00 GMT+0530 (India Standard Time)","33490.65","33490.65","33476.45","33479.35","-0.04","-0.04","0"
"Wed Jun 15 2022 13:56:00 GMT+0530 (India Standard Time)","33479.90","33506.65","33479.35","33500.60","0.06","0.06","0"
"Wed Jun 15 2022 13:57:00 GMT+0530 (India Standard Time)","33497.30","33520.00","33493.10","33516.55","0.05","0.05","0"
"Wed Jun 15 2022 13:58:00 GMT+0530 (India Standard Time)","33514.45","33531.65","33512.40","33523.50","0.02","0.02","0"
"Wed Jun 15 2022 13:59:00 GMT+0530 (India Standard Time)","33521.70","33535.50","33510.50","33511.20","-0.04","-0.04","0"
"Wed Jun 15 2022 14:00:00 GMT+0530 (India Standard Time)","33510.35","33514.80","33501.40","33502.50","-0.03","-0.03","0"
"Wed Jun 15 2022 14:01:00 GMT+0530 (India Standard Time)","33503.15","33510.25","33501.50","33503.60","0","0","0"
"Wed Jun 15 2022 14:02:00 GMT+0530 (India Standard Time)","33502.75","33502.75","33478.45","33479.85","-0.07","-0.07","0"
"Wed Jun 15 2022 14:03:00 GMT+0530 (India Standard Time)","33480.00","33492.90","33479.45","33488.00","0.02","0.02","0"
"Wed Jun 15 2022 14:04:00 GMT+0530 (India Standard Time)","33488.10","33498.40","33486.95","33491.10","0.01","0.01","0"
