"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"Fri Dec 22 2023 14:15:00 GMT+0530 (India Standard Time)","47612.20","47666.30","47561.20","47661.40","0.10","0.10","0"
"Fri Dec 22 2023 14:20:00 GMT+0530 (India Standard Time)","47663.20","47668.05","47610.85","47618.45","-0.09","-0.09","0"
"Fri Dec 22 2023 14:25:00 GMT+0530 (India Standard Time)","47616.50","47642.50","47586.35","47601.90","-0.03","-0.03","0"
"Fri Dec 22 2023 14:30:00 GMT+0530 (India Standard Time)","47593.40","47616.00","47525.80","47536.40","-0.14","-0.14","0"
"Fri Dec 22 2023 14:35:00 GMT+0530 (India Standard Time)","47539.45","47626.50","47537.55","47588.70","0.11","0.11","0"
"Fri Dec 22 2023 14:40:00 GMT+0530 (India Standard Time)","47595.70","47714.70","47590.20","47713.90","0.26","0.26","0"
"Fri Dec 22 2023 14:45:00 GMT+0530 (India Standard Time)","47708.05","47743.30","47633.10","47655.90","-0.12","-0.12","0"
"Fri Dec 22 2023 14:50:00 GMT+0530 (India Standard Time)","47655.85","47706.45","47637.55","47676.25","0.04","0.04","0"
"Fri Dec 22 2023 14:55:00 GMT+0530 (India Standard Time)","47679.25","47694.30","47613.45","47656.45","-0.04","-0.04","0"
"Fri Dec 22 2023 15:00:00 GMT+0530 (India Standard Time)","47657.35","47669.70","47486.25","47490.05","-0.35","-0.35","0"
"Fri Dec 22 2023 15:05:00 GMT+0530 (India Standard Time)","47498.65","47504.35","47439.30","47501.95","0.03","0.03","0"
"Fri Dec 22 2023 15:10:00 GMT+0530 (India Standard Time)","47504.55","47558.90","47461.95","47490.05","-0.03","-0.02","0"
"Fri Dec 22 2023 15:15:00 GMT+0530 (India Standard Time)","47489.20","47522.40","47437.35","47489.35","0","0","0"
"Fri Dec 22 2023 15:20:00 GMT+0530 (India Standard Time)","47490.35","47507.85","47465.50","47470.20","-0.04","-0.04","0"
"Fri Dec 22 2023 15:25:00 GMT+0530 (India Standard Time)","47469.55","47473.70","47415.85","47458.75","-0.02","-0.02","0"
"Tue Dec 26 2023 09:15:00 GMT+0530 (India Standard Time)","47576.40","47624.20","47475.20","47545.30","0.18","0.18","0"
"Tue Dec 26 2023 09:20:00 GMT+0530 (India Standard Time)","47550.75","47589.15","47505.40","47564.15","0.04","0.04","0"
"Tue Dec 26 2023 09:25:00 GMT+0530 (India Standard Time)","47565.75","47578.35","47476.95","47476.95","-0.18","-0.18","0"
